# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,
# COLUMN sy_gaiamag:     Gaia Magnitude,,,,,,,,
#,,,,,,,,
pl_name,pl_orbper,pl_bmasse,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_gaiamag
BD-17 63 b,655.6,1620.9,4714,0.69,0.74,4.26,34.4603,9.20112
BD-21 397 b,1891,214,4051,0.75,0.68,4.67,23.7324,9.25962
BD-21 397 c,6360,759,4051,0.75,0.68,4.67,23.7324,9.25962
CD Cet b,2.2907,3.95,3130,0.17,0.16,4.93,8.60715,12.1232
CFBDSIR J145829+101343 b,10037.5,3337.1,580.5,,0.02,4.72,,
CFHTWIR-Oph 98 b,8040000,2479.06157,2320,0.24,0.01,3.85,,
CHXR 73 b,,3994.486,,,0.35,,190.374,17.2934
CI Tau b,8.9891,3686.828,,,0.9,,157.998,12.1454
COCONUTS-2 b,402000000,2002.31896,3406,0.39,0.37,4.83,10.8864,10.146
CT Cha b,,5403,,,,,190.72,11.7733
CoRoT-1 b,1.5089557,327.35,5950,1.11,0.95,4.25,787.909,13.457
CoRoT-10 b,13.2406,874,5075,0.79,0.89,4.65,338.386,14.6645
CoRoT-11 b,2.99433,740.51,6440,1.37,1.27,4.22,655.037,12.841
CoRoT-12 b,2.828042,291.438,5675,1.12,1.08,4.38,1126.37,15.3453
CoRoT-13 b,4.03519,415.704,5945,1.01,1.09,4.46,1148.93,14.9147
CoRoT-14 b,1.51214,2415.4,6035,1.21,1.13,4.35,1744.6,15.8116
CoRoT-16 b,5.35227,170.032,5650,1.19,1.1,4.36,732.409,15.6507
CoRoT-17 b,3.7681,772.29,5740,1.59,1.04,4.4,1176.12,15.4368
CoRoT-18 b,1.9000693,1102.82,5440,1,0.95,4.4,764.889,14.8009
CoRoT-19 b,3.89713,352.78,6090,1.65,1.21,4.07,790.663,13.7831
CoRoT-2 b,1.7429935,1102.82,5625,0.91,0.96,,213.283,12.2489
CoRoT-20 b,9.24285,1366.669,,,1.14,,844.061,14.4686
CoRoT-20 c,1675,5403.11,,,1.14,,844.061,14.4686
CoRoT-21 b,2.72474,718.2958,6200,1.95,1.29,3.7,,15.8558
CoRoT-22 b,9.75598,12.2,5939,1.14,1.1,4.36,627.158,13.7305
CoRoT-23 b,3.6313,889.9,5900,1.61,1.14,4.3,1060.97,15.0681
CoRoT-24 b,5.1134,5.7,4950,0.86,0.91,4.55,591.555,15.1801
CoRoT-24 c,11.759,28,4950,0.86,0.91,4.55,591.555,15.1801
CoRoT-25 b,4.86069,85.81,6040,1.19,1.09,4.31,1103.48,14.711
CoRoT-26 b,4.20474,165.26,5590,1.79,1.09,3.99,1045.18,15.4682
CoRoT-27 b,3.57532,3302.11,5900,1.08,1.05,4.4,1010.28,15.3902
CoRoT-28 b,5.20851,153.82972,5150,1.78,1.01,3.6,766.183,13.4119
CoRoT-29 b,2.85057,270.1555,5260,0.9,0.97,4.3,806.507,15.2394
CoRoT-3 b,4.2568,6883.91,6740,1.56,1.37,4.22,768.771,13.2188
CoRoT-30 b,9.06005,921.707,5650,0.91,0.98,4.4,1032.23,15.413
CoRoT-31 b,4.62941,266.9772,5700,2.15,1.25,3.85,2005.76,15.4655
CoRoT-35 b,3.22748,349.61125,6390,1.65,1.01,4.01,1123.21,15.2625
CoRoT-36 b,5.616531,216.12332,6730,1.52,1.32,4.16,925.958,12.9515
CoRoT-4 b,9.20205,228.83,6190,1.17,1.16,4.41,726.412,13.5613
CoRoT-5 b,4.0378962,148.42,6100,1.19,1,4.19,882.472,13.9021
CoRoT-6 b,8.886593,940.74,6090,1.02,1.05,4.43,645.294,13.7459
CoRoT-7 b,0.85359163,4.07661,5275,0.83,0.82,4.5,159.906,11.5239
CoRoT-7 c,3.698,8.4,5256,0.86,0.9,4.52,159.906,11.5239
CoRoT-7 d,8.966,17.142,5250,,0.92,,159.906,11.5239
CoRoT-8 b,6.21229,69.92,5080,0.77,0.88,4.58,322.037,14.2195
CoRoT-9 b,95.272656,266.9772,5625,0.96,0.96,4.54,412.98,13.5008
CoRoTID 223977153 b,6.71837,47.6745,5970,0.79,1.08,4.67,576.683,13.5867
DE CVn b,4098.1,3823.2733,,,0.51,,30.5225,11.9752
DENIS-P J082303.1-491201 b,246.36,9057.77,,,0.07,,,18.5577
DH Tau b,,3496,,0.27,0.33,,134.846,12.4961
DMPP-1 b,18.57,24.27,6196,1.26,1.21,4.41,62.5388,7.85032
DMPP-1 c,6.584,9.6,6196,1.26,1.21,4.41,62.5388,7.85032
DMPP-1 d,2.882,3.35,6196,1.26,1.21,4.41,62.5388,7.85032
DMPP-1 e,5.516,4.13,6196,1.26,1.21,4.41,62.5388,7.85032
DMPP-2 b,5.2072,138.89171,6500,1.78,1.44,4.1,137.94,8.45824
DMPP-3 A b,6.6732,2.58,5138,0.91,0.87,4.3,45.23,
DP Leo b,10220,1922.79,,,0.69,,305.684,18.6333
DS Tuc A b,8.138268,,5428,0.96,1.01,,44.0622,8.31926
EPIC 201170410.02,6.7987,,3648,0.28,0.29,5,,16.4386
EPIC 201238110 b,28.1656,,,,0.41,,159.259,15.2612
EPIC 201427007 b,0.72091,,5633,0.94,,4.4,706.391,14.147
EPIC 201497682 b,2.13174,,,,0.78,,253.026,13.7368
EPIC 201595106 b,0.877214,,5820,0.93,,4.6,232.1,11.6477
EPIC 201615463 c,3.80464,,,,1.07,,476.882,11.9456
EPIC 201754305 d,2.71578,,,,0.67,,334.967,14.3234
EPIC 201757695.02,2.0478,,4520,0.66,0.73,4.66,,
EPIC 201833600 c,3.96151,,,,0.61,,257.443,14.2575
EPIC 201841433 b,4.1698,,5053,0.63,0.8,4.59,436.488,14.5885
EPIC 205950854 c,8.050722,,5502.7,0.83,0.88,,243.935,12.0976
EPIC 206024342 b,4.50756,,,,0.93,,369.888,12.9682
EPIC 206024342 c,0.911724,,5724,1.1,,4.5,369.888,12.9682
EPIC 206024342 d,14.647531,,5724,1.1,,4.5,369.888,12.9682
EPIC 206032309 b,2.87814,,,,0.22,,161.365,16.0689
EPIC 206042996 b,5.2986,,4114,0.5,,4.8,451.769,15.9752
EPIC 206042996 c,0.354884,,4114,0.5,,4.8,451.769,15.9752
EPIC 206215704 b,2.255436,,3297,0.25,,4.9,109.888,16.1722
EPIC 206317286 b,1.58252,,,,0.71,,314.35,13.774
EPIC 206317286 c,17.515472,,4752,0.76,0.83,4.6,314.35,13.774
EPIC 211822797 b,21.1701963,,4057,0.58,0.62,4.7,186.197,14.5263
EPIC 211945201 b,19.49221,,6069,1.39,1.17,4.22,181.69,10.0512
EPIC 212297394 b,2.289363,,5171,0.8,0.83,4.55,418.395,14.1864
EPIC 212297394 c,5.213965,,5171,0.8,0.83,4.55,418.395,14.1864
EPIC 212424622 b,18.0983,,,,1.11,,611.804,13.2026
EPIC 212499991 b,34.885,,,,0.91,,283.29,13.3118
EPIC 212587672 b,15.28078,,6004,0.98,0.99,4.45,320.07,12.2038
EPIC 212587672 c,23.228555,,6004,0.98,0.99,4.45,320.07,12.2038
EPIC 212624936 b,0.578657,,5765,0.93,,4.4,561.929,13.8326
EPIC 212624936 c,11.811437,,5765,0.93,,4.4,561.929,13.8326
EPIC 212737443 b,13.603,,4684,0.67,0.69,4.62,336.25,14.4776
EPIC 212737443 c,65.55,,4684,0.67,0.69,4.62,336.25,14.4776
EPIC 220492298 b,0.762406,,5620,0.89,,4.5,624.512,13.7756
EPIC 220554210 c,0.70531,,5499,1,,4.5,496.289,13.8183
EPIC 220674823 b,0.571292,8.21,5532,0.99,0.95,,244.59,11.9535
EPIC 220674823 c,13.3397,8.9,5532,0.99,0.95,,244.59,11.9535
EPIC 228836835 b,0.728113,,3782,0.32,,5,150.124,15.4185
EPIC 229004835 b,16.141132,10.4,5868,1,0.97,,121.971,10.0494
EPIC 246851721 b,6.180235,953.49,6202,1.59,1.32,4.16,372.632,11.2549
EPIC 248847494 b,3650,4131.79,4898,2.7,0.9,3.52,551.886,12.1722
EPIC 249893012 b,3.5951,8.75,5430,1.71,1.05,3.99,321.296,11.4019
EPIC 249893012 c,15.624,14.67,5430,1.71,1.05,3.99,321.296,11.4019
EPIC 249893012 d,35.747,10.18,5430,1.71,1.05,3.99,321.296,11.4019
FU Tau b,,5085.28,2838,,0.05,,,15.2412
G 264-012 b,2.30538,2.5,3326,0.3,0.3,4.85,16.009,11.7617
G 264-012 c,8.0518,3.75,3326,0.3,0.3,4.85,16.009,11.7617
G 9-40 b,5.746007,11.7,3348,0.31,0.29,4.93,27.9276,12.7331
GJ 1002 b,10.3465,1.08,3024,0.14,0.12,5.1,4.84867,11.7804
GJ 1002 c,21.202,1.36,3024,0.14,0.12,5.1,4.84867,11.7804
GJ 1061 b,3.204,1.37,2953,0.16,0.12,,3.67278,10.9889
GJ 1061 c,6.689,1.74,2953,0.16,0.12,,3.67278,10.9889
GJ 1061 d,13.031,1.64,2953,0.16,0.12,,3.67278,10.9889
GJ 1132 b,1.628931,1.66,3270,0.21,0.18,,12.613,12.138
GJ 1132 c,8.929,2.64,3270,0.21,0.18,,12.613,12.138
GJ 1148 b,41.38,96.7,3287,0.36,0.34,4.87,11.0143,10.5769
GJ 1148 c,532.58,68.06,3287,0.36,0.34,4.87,11.0143,10.5769
GJ 1151 c,389.7,10.62,3280,0.18,0.16,5.09,8.03625,11.6938
GJ 1214 b,1.58040433,8.17,3250,0.21,0.18,5.03,14.6427,13.0089
GJ 1252 b,0.5182416,1.32,3458,0.39,0.38,,20.373,11.2364
GJ 1265 b,3.6511,7.4,3236,0.19,0.18,5.09,10.2525,12.0807
GJ 143 b,35.61253,22.7,4640,0.69,0.73,4.61,16.32,7.67906
GJ 15 A b,11.4407,3.03,3607,0.38,0.38,4.87,3.56228,7.2162
GJ 15 A c,7600,36,3607,0.38,0.38,4.87,3.56228,7.2162
GJ 160.2 b,5.2354,10.2,4347,,0.69,,25.8557,9.20154
GJ 163 b,8.63182,10.6,,,,,15.1285,10.6771
GJ 163 c,25.63058,6.8,,,,,15.1285,10.6771
GJ 163 d,603.95116,29.4,,,,,15.1285,10.6771
GJ 179 b,2288,260.61,3370,0.38,0.36,4.83,12.356,10.7055
GJ 180 b,17.133,6.49,,,0.43,,11.9407,9.93395
GJ 180 c,24.329,6.4,3371,,0.43,,11.9407,9.93395
GJ 180 d,106.3,7.56,,,0.43,,11.9407,9.93395
GJ 2030 b,2.38129,4.76743,,,0.96,,37.0788,6.02088
GJ 2030 c,25533.11353,4069.15709,,,0.96,,37.0788,6.02088
GJ 2056 b,69.971,16.2,,,0.62,,28.4434,9.72281
GJ 229 A c,121.93268,8.58137,,,0.51,,5.75624,7.30724
GJ 229 b,579.47495,14.93794,,,0.51,,5.75624,7.30724
GJ 251 b,14.238,4,3451,0.36,0.36,4.96,5.58057,8.85518
GJ 27.1 b,15.819,13,3542,,0.53,,23.6062,10.579
GJ 273 b,18.6498,2.89,3382,0.29,0.29,,5.921535,
GJ 273 c,4.7234,1.18,3382,0.29,0.29,,5.921535,
GJ 3021 b,133.71,1071.04,5540,0.9,0.9,4.7,17.5559,6.39729
GJ 3082 b,11.949,8.2,,,0.47,,16.6186,10.2011
GJ 3090 b,2.853136,3.34,3556,0.52,0.52,4.73,22.4751,10.5521
GJ 3138 b,1.22003,1.78,3717,0.5,0.68,,28.4712,10.1924
GJ 3138 c,5.974,4.18,3717,0.5,0.68,,28.4712,10.1924
GJ 3138 d,257.8,10.5,3717,0.5,0.68,,28.4712,10.1924
GJ 317 b,695.66,557.1,,,0.42,,15.1968,10.7539
GJ 317 c,6739.323,522.5,,,0.42,,15.1968,10.7539
GJ 3222 b,10.66669,11.44182,,,0.89,,18.23817,
GJ 328 b,3771,797.7493,3897,0.63,0.65,4.64,20.5266,9.2861
GJ 328 c,241.8,21.4,3897,0.63,0.65,4.64,20.5266,9.2861
GJ 3293 b,30.5987,23.54,3466,0.4,0.42,,20.1903,10.9788
GJ 3293 c,122.6196,21.09,3466,0.4,0.42,,20.1903,10.9788
GJ 3293 d,48.1345,7.6,3466,0.4,0.42,,20.1903,10.9788
GJ 3293 e,13.2543,3.28,3466,0.4,0.42,,20.1903,10.9788
GJ 3323 b,5.3636,2.02,3159,0.12,0.16,,5.37484,10.6467
GJ 3323 c,40.54,2.31,3159,0.12,0.16,,5.37484,10.6467
GJ 3341 b,14.207,6.6,3526,0.44,0.47,,23.619,11.1029
GJ 338 B b,24.422,10.6,4014,0.58,0.64,4.68,6.33256,7.04775
GJ 3470 b,3.3366496,13.9,3600,0.55,0.54,4.7,29.4214,11.3537
GJ 3473 b,1.1980035,1.86,3347,0.36,0.36,4.81,27.3644,12.465
GJ 3473 c,15.509,7.41,3347,0.36,0.36,4.81,27.3644,12.465
GJ 3512 b,203.69,146.20107,3081,0.14,0.12,,9.48637,13.1117
GJ 3512 c,1599.6,63.56568,3081,0.14,0.12,,9.48637,13.1117
GJ 357 b,3.93072,1.84,3505,0.34,0.34,4.94,9.44181,9.88036
GJ 357 c,9.1247,3.4,3505,0.34,0.34,4.94,9.44181,9.88036
GJ 357 d,55.661,6.1,3505,0.34,0.34,4.94,9.44181,9.88036
GJ 3634 b,2.64561,8.4,,0.43,0.45,,20.3779,10.9233
GJ 367 b,0.321962,0.546,3522,0.46,0.45,4.78,9.41263,9.15159
GJ 3779 b,3.0232,8,3324,0.28,0.27,5.05,13.743,11.6266
GJ 3929 b,2.616235,1.75,3384,0.32,0.31,4.89,15.8095,11.5109
GJ 3929 c,15.04,5.71,3384,0.32,0.31,4.89,15.8095,11.5109
GJ 393 b,7.02679,1.71,3579,0.43,0.43,4.88,7.03149,8.67373
GJ 3942 b,6.905,7.14,3867,0.61,0.63,4.65,16.9287,9.40765
GJ 3998 b,2.64977,2.47,3722,0.49,0.5,4.77,18.1459,9.98337
GJ 3998 c,13.74,6.26,3722,0.49,0.5,4.77,18.1459,9.98337
GJ 411 b,12.9394,2.69,3719,0.37,0.39,4.89,5.675773,
GJ 414 A b,50.8,7.6,4120,0.68,0.65,4.65,11.8893,7.72808
GJ 414 A c,749.83,53.83,4120,0.68,0.65,4.65,11.8893,7.72808
GJ 422 b,20.129,11.07,,,0.35,,12.6631,10.4771
GJ 4276 b,13.352,16.57,3387,0.41,0.41,4.97,21.3362,11.6605
GJ 433 b,7.3705,6.043,,,0.48,,9.06456,8.89138
GJ 433 c,5094.105,32.422,,,0.48,,9.06456,8.89138
GJ 433 d,36.059,5.223,,,0.48,,9.06456,8.89138
GJ 436 b,2.64388312,22.1,,0.46,0.47,4.79,9.75321,9.57148
GJ 463 b,3448,1144.18227,3540,0.49,0.49,4.86,18.3554,10.5462
GJ 480 b,9.567,13.2,,,0.45,,14.2358,10.3249
GJ 486 b,1.467119,2.82,3340,0.33,0.32,,8.07426,10.094
GJ 504 b,,1271.3,6234,,1.22,4.6,17.5299,5.04156
GJ 514 b,140.43,5.2,3728,0.5,0.51,4.76,7.61778,8.20621
GJ 536 b,8.7076,5.36,3685,0.5,0.52,4.75,10.4092,8.85881
GJ 581 b,5.3686,15.8,3396,0.33,0.31,4.89,6.2981,9.411
GJ 581 c,12.914,5.5,3396,0.33,0.31,4.89,6.2981,9.411
GJ 581 e,3.149,1.7,3396,0.33,0.31,4.89,6.2981,9.411
GJ 625 b,14.628,2.82,3499,0.31,0.3,4.94,6.47249,9.13702
GJ 649 b,600.1,81.99973,3734,0.5,0.51,4.76,10.3796,8.81875
GJ 667 C b,7.2004,5.6,3350,,0.33,4.69,7.24396,9.38033
GJ 667 C c,28.14,3.8,3350,,0.33,4.69,7.24396,9.38033
GJ 667 C e,62.24,2.7,3350,,0.33,4.69,7.24396,9.38033
GJ 667 C f,39.026,2.7,3350,,0.33,4.69,7.24396,9.38033
GJ 667 C g,256.2,4.6,3350,,0.33,4.69,7.24396,9.38033
GJ 674 b,4.6938,11.09,3600,,0.35,,4.54896,8.33063
GJ 676 A b,1051.44521,1840.86213,,,0.63,,16.0272,8.86517
GJ 676 A c,13921.42302,4288.14087,,,0.63,,16.0272,8.86517
GJ 676 A d,3.60076,3.81394,,,0.63,,16.0272,8.86517
GJ 676 A e,35.47358,6.6744,,,0.63,,16.0272,8.86517
GJ 680 b,17281.66514,7977.49302,,,0.46,,9.67315,9.28322
GJ 682 b,17.478,4.4,3028,,0.27,,5.00671,9.57025
GJ 682 c,57.32,8.7,3028,,0.27,,5.00671,9.57025
GJ 685 b,24.16,9,3816,0.54,0.55,4.72,14.3155,9.1671
GJ 687 b,38.142,17.2,,,0.4,,4.54939,8.02754
GJ 687 c,727.562,16,,,0.4,,4.54939,8.02754
GJ 720 A b,19.466,13.64,3837,0.56,0.57,4.71,15.5575,9.10496
GJ 740 b,2.37756,2.96,3913,0.56,0.58,4.68,11.1017,8.45636
GJ 832 b,3657,216,3472,,0.45,4.7,4.96435,7.73761
GJ 849 b,1925.31,283.82077,3467,0.45,0.45,4.8,8.80058,9.2245
GJ 849 c,5990,0.99,3467,0.45,0.45,4.8,8.80058,9.2245
GJ 86 b,15.76491,1404.8086,5182,0.77,0.93,4.63,10.7836,5.88516
GJ 876 b,61.1166,723.2235,,0.3,0.32,,4.67517,8.8753
GJ 876 c,30.0881,226.9846,,0.3,0.32,,4.67517,8.8753
GJ 876 d,1.93778,6.83,,0.3,0.32,,4.67517,8.8753
GJ 876 e,124.26,14.6,,0.3,0.32,,4.67517,8.8753
GJ 887 b,9.262,4.2,3688,0.47,0.49,4.78,3.29,
GJ 887 c,21.789,7.6,3688,0.47,0.49,4.78,3.29,
GJ 896 A b,284.39,718.2922,,,0.44,,6.26022,9.03758
GJ 9066 c,771.36,66.74397,3154,0.16,0.15,5.01,4.471,10.6711
GJ 96 b,73.94,19.66,3785,,0.6,,11.9315,8.63186
GJ 9689 b,18.27,9.65,3836,0.57,0.59,4.69,30.6203,10.5372
GJ 9714 b,19240.75467,2988.54051,,,0.67,,20.5121,8.8377
GJ 9827 b,1.2089819,5.14,4305,0.6,0.61,,29.661,9.83773
GJ 9827 c,3.648096,1.3,4305,0.6,0.61,,29.661,9.83773
GJ 9827 d,6.20147,3.53,4305,0.6,0.61,,29.661,9.83773
GPX-1 b,1.744579,6261.21962,7000,1.56,1.68,4.27,655.013,12.2228
GQ Lup b,,6356,,,0.7,,151.169,11.2608
GSC 06214-00210 b,,5000,4200,,0.9,,108.5,11.8633
GU Psc b,,3591.3,,,0.33,,47.5501,12.9656
Gaia-1 b,3.052524,533.95172,5470,0.95,0.95,,363.66,12.9988
Gaia-2 b,3.6915224,259.66581,5720,1.06,1,,209.229,11.1968
Gl 378 b,3.822,13.02,3879,0.56,0.56,,14.9545,9.26515
Gl 49 b,13.8508,5.63,3805,0.51,0.52,4.69,9.8528,8.66282
Gl 686 b,15.53,6.624,3656,0.43,0.43,4.87,8.15728,8.73899
HAT-P-1 b,4.46529976,166.86075,5980,1.17,1.15,4.36,158.979,10.1786
HAT-P-11 b,4.88780244,23.4,4780,0.68,0.81,,37.7647,9.15098
HAT-P-11 c,3407,507,4780,0.68,0.81,,37.7647,9.15098
HAT-P-12 b,3.2130598,67.059,4650,0.7,0.73,4.61,142.751,12.4197
HAT-P-13 b,2.91625,270.462,,,,,246.81,10.4168
HAT-P-13 c,446.27,4538.421,,,,,246.81,10.4168
HAT-P-14 b,4.62767,1093.3352,6600,1.82,2.65,4.25,222.663,9.87283
HAT-P-15 b,10.8635,616.5902,5568,1.07,1,4.38,192.516,11.7232
HAT-P-16 b,2.77596,1332.605,6158,1.24,1.22,4.34,226.637,10.7568
HAT-P-17 b,10.33852,184.3414,5246,0.87,0.99,4.53,92.3831,10.2743
HAT-P-17 c,5584,1080.6,5336.96,0.84,0.92,4.55,92.3831,10.2743
HAT-P-18 b,5.508023,62.61,4803,0.75,0.77,4.57,161.4,12.3682
HAT-P-19 b,4.008778,92.802,4990,0.82,0.84,4.54,202.078,12.5567
HAT-P-2 b,5.6335158,2739.6946,6380,1.39,1.33,,127.774,8.59842
HAT-P-20 b,2.875317,2302.899,4595,0.69,0.76,4.63,71.0374,10.9903
HAT-P-21 b,4.12448,1547.8321,5588,1.21,1.24,4.33,277.278,11.5583
HAT-P-22 b,3.21222,785.0401,5302,1.11,1.13,4.36,81.7647,9.51936
HAT-P-23 b,1.21288,425.8922,5905,0.96,0.58,4.33,364.813,12.1741
HAT-P-24 b,3.35524,238.3725,6373,1.38,1.37,4.27,415.344,11.6396
HAT-P-25 b,3.65281514,180.84527,5519,0.92,1.01,4.52,300.384,12.8416
HAT-P-26 b,4.23452,22.2481,5079,0.87,1.12,4.56,141.837,11.4641
HAT-P-27 b,3.039577,197.05,5316,0.86,0.92,4.53,199.173,11.9562
